Rank,ResumeID,Score,Query
1044,R004408,1,"sql"
1045,R004409,1,"sql"
1046,R004413,1,"sql"
1047,R004418,1,"sql"
1048,R004420,1,"sql"
1049,R004426,1,"sql"
1050,R004427,1,"sql"
1051,R004430,1,"sql"
1052,R004432,1,"sql"
1053,R004435,1,"sql"
1054,R004441,1,"sql"
1055,R004443,1,"sql"
1056,R004444,1,"sql"
1057,R004445,1,"sql"
1058,R004446,1,"sql"
1059,R004451,1,"sql"
1060,R004453,1,"sql"
1061,R004454,1,"sql"
1062,R004457,1,"sql"
1063,R004460,1,"sql"
1064,R004466,1,"sql"
